date,summary,emotion
2021/3/31,3月31日财经早餐：拜登基建计划即将登场美元狂涨黄金大跌逾30美元美国总统拜登将在周三概述他计划如何为3-4万亿美元基础设施计划筹措资金市场对美国经济前景的乐观预期比较高昂。10年期美债收益率周二盘中升至14个月高点1.776%；美元指数升至93关口上方盘中高见93.357这是...,negative
2021/3/31,3月31日外汇交易提醒：日元五连跌月线料重挫逾3%3月30日美元指数上涨0.39%创近五个月新高。日元五连跌月线料重挫逾3%。非美货币集体回落。今日重点关注拜登讲话。,negative
2021/3/31,纽市盘前：日元六连跌创一年新低！“小非农”不及预计金价持坚,negative
2021/3/31,拜登将启动直追太空竞赛的经济计划2万亿美元基建方案打头阵,positive
2021/3/31,黄金料创下逾四年最大季度跌幅！两股力量推动收益率暴涨,positive
2021/3/31,金价或跌破1600美元？拜登新支出计划将如何影响金价？,negative
2021/3/31,3月31日上海期货交易所仓单日报,positive
2021/3/31,现货黄金多头进场还是逃命？关注本周两重磅事件,negative
2021/3/31,欧市盘前：押注OPEC维持减产美油逼近61日元或六连跌,positive
2021/3/31,国际金价下看1664美元空头获两股势力背书,positive
2021/3/31,3月31日现货黄金交易策略：空头士气如虹,positive
2021/3/31,3月31日黄金T+D、白银T+D、纸黄金、纸白银阻力支撑位,positive
2021/3/31,黄金交易提醒：拜登料推史上最强刺激计划多头能否力挽狂澜？,positive
2021/3/31,3月31日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/31,3月31日财经早餐：拜登基建计划即将登场美元狂涨黄金大跌逾30美元,positive
2021/3/31,美国EIA原油库存降幅不及预期但产量创三个月新高NYMEX原油短线震荡逾0.5美元,neutral
2021/3/31,纽市盘前：日元六连跌创一年新低！“小非农”不及预计金价持坚,negative
2021/3/31,OPEC+联合技术委员会调降原油需求增长预估上调供给预期,neutral
2021/3/31,拜登将启动直追太空竞赛的经济计划2万亿美元基建方案打头阵,positive
2021/3/31,美油日内转跌OPEC+大概率延长减产但多头还有一靠山,negative
2021/3/31,国际油价反弹但须警惕OPEC+放松减产的阻力可能长期化,negative
2021/3/31,INE原油五连涨OPEC+料给多头注入新的兴奋剂,positive
2021/3/31,OPEC+面对疫情料选择暂缓大幅增产油价前景正扑朔迷离,positive
2021/3/31,NYMEX原油下方支撑看向58.17美元OPEC+或依旧处境被动,positive
2021/3/31,3月31日美原油交易策略：关注EIA数据,positive
2021/3/31,欧市盘前：押注OPEC维持减产美油逼近61日元或六连跌,positive
2021/3/31,原油交易提醒：疫情与美元大棒下OPEC能否助多头一臂之力？,negative
2021/3/31,欧洲封锁抑制需求石油多头等待OPEC+出手,positive
2021/3/31,3月31日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/31,3月31日财经早餐：拜登基建计划即将登场美元狂涨黄金大跌逾30美元,positive
2021/3/30,"3月29日伦敦银行间同业拆借利率LIBOR今日官网出炉的 2021/03/29 “伦敦银行间拆借利率”数据如下：
隔夜LIBOR：欧元报-0.58200%美元报0.07288%英镑报0.04075%日元报-0.09833%瑞郎报-0.80580%；
1...",positive
2021/3/30,纽市盘前：日元创一年新低！金油罕见集体大跌3月30日纽市盘前美元指数升创近五个月新高日元触及一年以来新低。分析师表示日元受到美国通胀预期高于日本以及美国长期公债收益率上升的影响。黄金与原油罕见集体大跌。,negative
2021/3/30,拉美疫情反弹多项指标创下新高疫情防控需多管齐下巴西疫情近期严重反弹多项指标接连刷新纪录。巴西邻国秘鲁疫情也正持续走高。智利疫情在夏季假期后也出现反弹。卫生专家认为近期拉美国家确诊病例激增的主因是变异新冠病毒流行。卫生专家表示推进疫苗接种固然重要其余防疫措施...,negative
2021/3/30,黄金创三周新低美指刷新四个半月高位复苏正渐入佳境3月30日现货黄金跌逾1.5%至3月9日以来新低1686.28美元/盎司因疫苗接种加快以及美国大规模刺激引发通胀担忧美债收益率升创14个月新高至1.774%使得美元的投资魅力提升。美元指数突破93关口创202...,positive
2021/3/30,本周非农料将飞涨美元多头势不可挡3月30日摩根大通(JP Morgan)分析师预计本周五美国很可能会公布一份乐观的就业报告本月美国的整体非农就业数据预计将大幅上升。在连续三个月未达到预期后随着刺激法案和疫苗接种影响逐渐渗透市场对于美国经济复...,negative
2021/3/30,欧元或回踩1.17美/日一年来首上110美元更大行情可期3月30日欧市欧元兑美元刷新去年11月5日以来低位至1.1729美元兑日元创一年新高至110.39美国关键的10年期基准国债收益率接近1.80%投资者不断调整头寸以适应未来几个月预期的更高的财政支出以及拜登振...,positive
2021/3/30,两大趋势联手推动银价有望再登50美元高峰3月30日由于美元上涨势头和债券收益率的弹性上升趋势对贵金属造成冲击白银价格疲软创下逾两个新低。然而美国银行预计不断上升的工业需求将使基本的供需状况在2021年保持相对平衡。同时一位业内专家也提示道：市场正进...,positive
2021/3/30,大失所望下黄金跌破1700关口随着美国疫苗接种速度加快对于该国经济迅速复苏的预期增强提振美元及美国公债收益率坚挺大失所望下给黄金多头带来极大的压力。黄金作为通胀对冲工具本该上涨但却不断下跌。日内跌破1700美元/盎司关口创3月9日以来新...,negative
2021/3/30,确认了！富时罗素将中国国债纳入世界国债指数权重5.25%。现货黄金价格在周二亚洲时段跟随美元指数的进一步走强延续本周开局以来跌势并失守了1700美元处的关键心理支撑位跌触3月9日以来三周新低。而在本季度仅剩下最后一天半交易时间的状况下现货金价累计已下跌超过10%不出...,negative
2021/3/30,现货金价华丽失守1700美元料录得两年半来首次季度下跌现货黄金价格在周二亚洲时段跟随美元指数的进一步走强延续本周开局以来跌势并失守了1700美元处的关键心理支撑位跌触3月9日以来三周新低。而在本季度仅剩下最后一天半交易时间的状况下现货金价累计已下跌超过10%不出...,negative
2021/3/30,拜登基建大礼包料捆绑加税推出驴象恶斗再起市场前景难测美国总统将在本周三机宣布其基建计划。据白宫官员事先透露这一雄心勃勃的基建计划跨度将涵盖整整一代人的时间除了修复扩建基础设施之外还在复兴美国的制造业与气候变化做抗争并维持美国的国际竞争力。但其所产生的3万亿美...,positive
2021/3/30,国际金价跌创两周半新低直逼1700关口；对冲基金惹麻烦3月30日国际金价下滑至3月12日以来的两周半新低1700.84美元/盎司。随着美国疫苗接种速度加快对于该国经济迅速复苏的预期增强提振美元及美国公债收益率持坚这给金价带来压力。进一步令金价承压的是投资人担心对...,negative
2021/3/30,欧市盘前：美元强势日元触及一年新低！金油集体承压3月30日欧市盘前美元升创四个半月新高美元兑日元升创一年新高。现货黄金与原油集体下跌。,negative
2021/3/30,国际金价下看1695美元美元避险吸引力再获新的提升3月30日国际金价下跌再创3月12日以来的两周半新低1704.84美元/盎司疫苗接种带动经济快速复苏的乐观预期促使美元走强以及美债收益率上涨这打压了金价。现货黄金短线下看1695美元。Archegos资本管理...,neutral
2021/3/30,黄金交易提醒：美债收益率涨破1.7%黄金多头欲背水一战3月30日亚洲时段现货黄金窄幅震荡。3月29日10年期美债收益率再度涨破1.7%金价跌超1%下方面临1700重要关口若跌破1700或下看1676一线。,negative
2021/3/30,3月30日外汇阻力支撑位3月30日外汇阻力支撑位,positive
2021/3/30,3月30日香港银行间同业拆借利率港币HIBOR3月30日香港银行间同业拆借利率港币：隔夜报0.06000%1周期报0.07000%1月期报0.13000%3月期报0.23000%6月期报0.43000%。,positive
2021/3/30,3月30日外汇交易提醒：美元和美债收益率攀升日元接近一年低点3月29日美元走强、美债收益率攀升受人们对强制大宗交易的担忧影响股市大幅波动。受疫情疑虑等拖累欧元兑美元跌至11月12日以来的最低。日元兑美元连续第四个交易日下跌接近一年低点。大宗商品货币下跌油价扭转跌势支...,negative
2021/3/30,3月30日财经早餐：美元逼近93关口黄金跌逾20美元油价升至一周高位3月29日美元走强、美债收益率攀升受人们对强制大宗交易的担忧影响股市大幅波动。受疫情疑虑等拖累欧元兑美元跌至11月12日以来的最低。现货黄金收跌逾20美元报1712.20美元/盎司坚挺的美元和不断上升的美债收...,negative
2021/3/30,纽市盘前：日元创一年新低！金油罕见集体大跌,negative
2021/3/30,拉美疫情反弹多项指标创下新高疫情防控需多管齐下,neutral
2021/3/30,黄金创三周新低美指刷新四个半月高位复苏正渐入佳境,positive
2021/3/30,两大趋势联手推动银价有望再登50美元高峰,positive
2021/3/30,黄金T+D收盘下跌逾1%两大因素带动美元持坚,neutral
2021/3/30,大失所望下黄金跌破1700关口,negative
2021/3/30,现货金价华丽失守1700美元料录得两年半来首次季度下跌,neutral
2021/3/30,3月30日上海期货交易所仓单日报,positive
2021/3/30,国际金价跌创两周半新低直逼1700关口；对冲基金惹麻烦,negative
2021/3/30,欧市盘前：美元强势日元触及一年新低！金油集体承压,positive
2021/3/30,国际金价下看1695美元美元避险吸引力再获新的提升,positive
2021/3/30,3月30日现货黄金交易策略：空军剑指1700下方,positive
2021/3/30,3月30日黄金T+D、白银T+D、纸黄金、纸白银阻力支撑位,positive
2021/3/30,黄金交易提醒：美债收益率涨破1.7%黄金多头欲背水一战,neutral
2021/3/30,长赐号脱浅成功运河受阻带来哪些蝴蝶效应？,negative
2021/3/30,3月30日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/30,3月30日财经早餐：美元逼近93关口黄金跌逾20美元油价升至一周高位,positive
2021/3/30,美元美债收益率攀升黄金创近三周来最大跌幅,positive
2021/3/30,OPEC本周料再打“强心剂然原油多头仍面临重重危机,neutral
2021/3/30,纽市盘前：日元创一年新低！金油罕见集体大跌,negative
2021/3/30,美油跌逾1%苏伊士运河恢复通航OPEC+料继续“割肉”,negative
2021/3/30,国际油价走疲沙特或被迫扩大割肉但俄罗斯仍不领情,negative
2021/3/30,INE原油创逾一周新高OPEC+会议在即沙特料有意外举动,positive
2021/3/30,3月30日美原油交易策略：多空双方或相互试探,positive
2021/3/30,NYMEX原油上看62.62美元OPEC+本周或仍将作出不得已选择,negative
2021/3/30,欧市盘前：美元强势日元触及一年新低！金油集体承压,positive
2021/3/30,原油交易提醒：OPEC+料按兵不动多头“死里逃生”别得意,negative
2021/3/30,“长赐号”运河搁浅事件落幕全球贸易新一波压力开始,negative
2021/3/30,3月30日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/30,料OPEC+将维持减产政策美油涨逾1%收复61关口,positive
2021/3/30,3月30日财经早餐：美元逼近93关口黄金跌逾20美元油价升至一周高位,positive
2021/3/29,"3月26日伦敦银行间同业拆借利率LIBOR今日官网出炉的 2021/03/26 “伦敦银行间拆借利率”数据如下：
隔夜LIBOR：欧元报-0.57914%美元报0.07338%英镑报0.04088%日元报-0.06917%瑞郎报-0.78960%；
1...",positive
2021/3/29,纽市盘前：美油扳回多数跌幅但受困美指创四个半月新高3月29日纽市盘前美元指数窄幅震荡一度创下四个半月新高因全球略呈避险模式。美油触底反弹扳回巨大跌幅此前一度跌超2%。,positive
2021/3/29,欧元深陷疫情泥沼但空头也没到高枕无忧的时候3月29日欧元兑美元一度跌至1.1763接近上周触及的四个半月低点1.1762美元。在欧元区几乎所有主要国家新增感染人数都在继续上升。对欧元区经济复苏的担忧情绪给欧元造成下行压力。但今天是这个月和季度最后一周的开...,negative
2021/3/29,黄金承压美指创四个月新高！本周两看点或不乏重大突破3月29日现货黄金重新走低因美元指数本周开局持坚创2020年11月中旬新高至92.92美国经济复苏和疫苗接种进展快于其他发达国家吸引投资者涌向美元。投资者本周主要关注拜登即将公布的基础建设支出计划细节以及3...,positive
2021/3/29,拜登面临一场“政治恶仗”本周将公布重大支出计划周三拜登将在匹兹堡公布一项大型基础设施和就业计划的框架并在本周晚些时候首次展示他的2022年预算——该预算承诺将把联邦资金重定向到气候变化和医疗保健等领域投资者需要重点关注。,neutral
2021/3/29,金价面临重重险阻拜登本周或再添乱3月29日随着美国新一轮的基础设施计划浮出水面以及新冠疫苗接种的进展助长了投资者的积极情绪推动美元创下逾四个月新高。对复苏希望也削弱了黄金的吸引力黄金承压下跌。,negative
2021/3/29,贵金属T+D涨跌互现但有理由相信二季度黄金前景不妙3月29日上海黄金交易所黄金T+D收跌0.18%至365.31元/克白银T+D收涨0.12%至5160元/千克美债收益率回落降低贵金属等非孳息资产持有成本但美元指数升创四个半月新高至92.92限制了贵金属上涨...,negative
2021/3/29,国际金价跌向1700美元？前提是该风险短期内大爆发！。欧洲央行正在与通胀预期下降搏斗考虑到欧洲多个国家还受到第三波新冠疫情的拖累而且新冠疫苗的接种要明显差于英国和美国预计欧元未来一段时段偏向弱势。,negative
2021/3/29,欧洲苦战低通胀困境欧元将跌至1.16关口？欧洲央行正在与通胀预期下降搏斗考虑到欧洲多个国家还受到第三波新冠疫情的拖累而且新冠疫苗的接种要明显差于英国和美国预计欧元未来一段时段偏向弱势。,negative
2021/3/29,欧市盘前：苏伊士运河通航在望油价跌逾2%非美货币普跌3月29日欧市盘前美元小幅上涨非美货币集体下跌。随着长赐号货轮成功脱浅苏伊士运河通航有望油价早盘大跌超2%。,negative
2021/3/29,国际金价仍下看1674美元但美国复苏进程不乏瑕疵3月29日国际金价下跌因美元指数上升美国经济复苏和疫苗接种进展快于其他发达国家吸引投资者涌向美元这削弱黄金的避险地位。现货黄金短线仍下看1674美元。不过美国2月消费者支出录得10个月来最大降幅这限制了金价...,negative
2021/3/29,原油交易提醒：刚刚！“长赐号”成功脱浅多头慌了3月29日亚洲时段美国原油大幅下跌近2%最低跌至59.84因此前有消息称长赐号货轮已经成功脱浅。本周重点关注OPEC+部长级会议。技术面看油价走势目前依然偏弱本周仍以看跌为主。,neutral
2021/3/29,黄金交易提醒：非农及拜登重磅讲话来袭！多空决战在即！3月29日亚洲时段现货黄金小幅下跌因美元指数小幅上涨。行情在经历两周的横盘后本周有望迎来突破。非农及拜登讲话将为金价走势指引方向。,positive
2021/3/29,3月29日香港银行间同业拆借利率港币HIBOR3月29日香港银行间同业拆借利率港币：隔夜报0.06000%1周期报0.07000%1月期报0.14000%3月期报0.23000%6月期报0.44000%。,positive
2021/3/29,3月29日外汇阻力支撑位3月29日外汇阻力支撑位,positive
2021/3/29,3月29日财经早餐：市场聚焦OPEC+会议和货轮脱困进展本周还迎非农风暴3月29日至4月3日市场需要关注包括英国和加拿大去年第四季度GDP美国3月份ADP就业人数和非农就业报告以及中国制造业PMI在内的数据。大事需关注OPEC+部长会议以及美联储高级官员和美国总统拜登的讲话以及苏...,positive
2021/3/29,纽市盘前：美油扳回多数跌幅但受困美指创四个半月新高,positive
2021/3/29,黄金承压美指创四个月新高！本周两看点或不乏重大突破,positive
2021/3/29,金价面临重重险阻拜登本周或再添乱,negative
2021/3/29,贵金属T+D涨跌互现但有理由相信二季度黄金前景不妙,negative
2021/3/29,3月29日上海期货交易所仓单日报,positive
2021/3/29,国际金价跌向1700美元？前提是该风险短期内大爆发！,negative
2021/3/29,欧市盘前：苏伊士运河通航在望油价跌逾2%非美货币普跌,negative
2021/3/29,国际金价仍下看1674美元但美国复苏进程不乏瑕疵,negative
2021/3/29,3月29日黄金T+D、白银T+D、纸黄金、纸白银阻力支撑位,positive
2021/3/29,黄金交易提醒：非农及拜登重磅讲话来袭！多空决战在即！,positive
2021/3/29,3月29日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/29,3月29日财经早餐：市场聚焦OPEC+会议和货轮脱困进展本周还迎非农风暴,positive
2021/3/29,纽市盘前：美油扳回多数跌幅但受困美指创四个半月新高,positive
2021/3/29,堵住苏伊士运河的巨轮脱浅全球重要贸易动脉通行希望升温！,positive
2021/3/29,INE原油回吐大半涨幅“长赐”号给多头一击重拳,negative
2021/3/29,国际油价跌逾2%OPEC+本周政策会议来临之际传“噩耗”,negative
2021/3/29,欧市盘前：苏伊士运河通航在望油价跌逾2%非美货币普跌,negative
2021/3/29,NYMEX原油料跌破57.26美元此前已两度受阻于重要瓶颈,negative
2021/3/29,3月29日美原油交易策略：警惕空头加大攻势,negative
2021/3/29,原油交易提醒：刚刚！“长赐号”成功脱浅多头慌了,positive
2021/3/29,3月29日黄金、白银、原油等商品期货阻力支撑位,positive
2021/3/29,3月29日财经早餐：市场聚焦OPEC+会议和货轮脱困进展本周还迎非农风暴,positive
2021/3/27,汇市周评：美债收益率高企支持美元欧洲疫情严峻施压欧元3月27日本周美元指数维持震荡上升的格局。本周美指上涨77.8点涨幅0.85%升至三个月新高。美债收益率高企美国疫情局势向好以及美联储官员发表乐观言论等因素给美元带来支撑。在美元走强的背景下其他非美品种呈现不...,positive
2021/3/27,金市周评：本周金价维持震荡格局但诸多因素对其前景不利3月27日当周金价震荡小幅走低金价下跌12.71美元跌幅0.73%收盘在1732.52美元/盎司。金价下跌主要受到以下几方面因素的影响。首先美债收益率持续维持高位这削弱了非孳息资产金价的吸引力不利金价；美...,positive
2021/3/27,下周重磅事件及指标影响前瞻(3月29日至4月4日)下周市场迎来英国GDP、加拿大GDP等各国GDP数据中国制造业PMI数据美联储高级官员轮番讲话OPEC+部长会议最后还有市场热切期待的美国3月份非农就业报告。此外市场还要关注拜登的基建计划全球疫情和疫苗接种...,positive
2021/3/27,CFTC持仓解读：日元看空意愿升温(3月23日当周)汇通网CTFC持仓数据：美国商品期货交易委员会(CFTC)3月26日发布的报告显示截止至3月17日至3月23日当周：日元看空意愿升温；日元投机性净空头增加14157手合约至53525手合约表明投资者看空日元的意愿...,positive
2021/3/27,3月29日外汇交易提醒：美元回落商品货币涨幅领先日元创逾九个月新低3月26日随着市场风险偏好升高美元兑多数G-10货币下挫但美元指数仍接近四个月高位周线大涨0.85%；大宗商品货币跑赢避险货币挪威克朗、澳元与纽元兑美元大涨美元兑日元一度高见109.85为去年6月以来最高。...,positive
2021/3/27,3月27日财经早餐：美元走低商品货币大涨黄金缩窄周跌幅油价飙升4%3月26日随着市场风险偏好升高美元兑多数G-10货币下挫大宗商品货币跑赢避险货币挪威克朗、澳元与纽元兑美元大涨日元跌至去年6月份以来最低水平。金价上涨缩窄了全周的跌幅不过现货黄金三周以来首次单周下跌凸显出...,negative
2021/3/27,金市周评：本周金价维持震荡格局但诸多因素对其前景不利,positive
2021/3/27,下周重磅事件及指标影响前瞻(3月29日至4月4日),positive
2021/3/27,CFTC持仓解读：黄金看多意愿降温(3月23日当周),positive
2021/3/27,3月27日财经早餐：美元走低商品货币大涨黄金缩窄周跌幅油价飙升4%,positive
2021/3/27,美元走软金价小幅走高反弹之路仍坎坷,positive
2021/3/27,油市周评：油价震荡收跌受欧洲疫情打压但航运中断限制跌势,negative
2021/3/27,CFTC持仓解读：原油看多意愿降温(3月23日当周),positive
2021/3/27,3月27日财经早餐：美元走低商品货币大涨黄金缩窄周跌幅油价飙升4%,positive
2021/3/26,"3月25日伦敦银行间同业拆借利率LIBOR今日官网出炉的 2021/03/25 “伦敦银行间拆借利率”数据如下：
隔夜LIBOR：欧元报-0.57871%美元报0.07550%英镑报0.04075%日元报-0.08117%瑞郎报-0.79400%；
...",positive
2021/3/26,德法病例激增欧洲乱象频出欧元多头恐难有出头之日欧盟最大的两个国家正在努力应对新冠病毒感染的激增这加剧了疫苗接种推广混乱造成的政治损害。德国正在考虑宣布法国为病毒高发区这意味着需要进行新冠肺炎检测。与此同时法国将封锁范围扩大到另外三个地区试图阻止病毒的传播。...,negative
2021/3/26,黄金受制于美元反弹；FED何时从紧？官员给出初步时间段3月26日现货黄金继续承压因美元指数在欧洲时段反弹回补日内多数跌势美国经济数据改善和新冠疫苗施打带动一波乐观情绪且美国公债收益率上升。美联储官员称2023年可能具备加息条件但未来两年中面临许多变数。分析师...,negative
2021/3/26,欧元兑美元技术解析：1.18关口压制明显警惕进一步下行风险。3月26日纽市盘前美元指数小幅下跌日元创九个半月新低因市场风险情绪回升。美油大幅上涨因世界重要通道苏伊士运河遭巨轮瘫痪。,negative
2021/3/26,纽市盘前：日元创九个半月新低！美油多头重树底气3月26日纽市盘前美元指数小幅下跌日元创九个半月新低因市场风险情绪回升。美油大幅上涨因世界重要通道苏伊士运河遭巨轮瘫痪。,positive
2021/3/26,贵金属T+D收盘涨跌互现两方面因素暗示多头处境不佳3月26日上海黄金交易所黄金T+D收跌0.25至365.03元/克白银T+D收涨0.40%至5212元/千克。基本面对贵金属并不友好一方面美国的经济数据表现优异表明美国在疫情明显受控后经济活力的增强而欧洲疫情...,negative
2021/3/26,美元继续强势上攻欧元大跌再创四个月新低3月25日美元指数创逾4个月新高因欧洲大三波疫情引发担忧欧元兑美元再创新低。近几周债券收益率上涨以及市场浮现避险情绪也惠及美元然而随着英国终于有望与欧盟重新达成和解英镑近期挣扎走势有望获得动能。,negative
2021/3/26,债多不愁！美国国会预算办公室的赤字警告再成拜登耳旁风美国总统拜登计划在当前1.9万亿谢谢财政刺激行动之余再追加3万亿美元的财政支出用于基建、医疗和教育等领域然而由此带来的巨额开支、赤字与债务似乎却会让国会预算办公室(CBO)很难继续淡定下去。,negative
2021/3/26,国际金价料重启跌势美联储官员在这件事上几乎打包票3月26日现货黄金价格在上日录得的一周低位1721.98美元/盎司上方附近企稳但周线料时隔两周后重新收阴美国经济数据良好且疫苗接种加速金价受到美元上涨的压力。美债收益率上涨也削弱了黄金的避险能力。美联储官员几...,negative
2021/3/26,INE原油小幅下跌疫情再引担忧下周关注一场重要会议3月26日上海原油价格小幅下跌欧洲严峻的疫情叠加强势美元的影响盖过了苏伊士运河被堵的恐慌。不过OPEC+可能在4月1日的会议上按兵不动投资者需密切关注。,negative
2021/3/26,国际金价下看1674未来三个月多头仍将面临宰割3月26日国际金价持稳因美债收益率及美元走软黄金在政治和经济不确定时期经常被视为避险投资。但金价周线已跌近1%料时隔两周后重新收阴。后市下看1674美元。预计未来三个月美债收益率可能还会出现一波上扬。,neutral
2021/3/26,欧市盘前：美元下滑商品货币领涨美油多头发威涨逾1%3月26日纽市盘前美元指数小幅下跌商品货币领涨因大宗商品价格继续上升。美油大涨逾1%因苏伊士运河被堵。,positive
2021/3/26,黄金多头小心了！调查显示美债空头还有一波机会最近一份调查显示未来三个月可能还会出现一波债市下跌且债券收益率并不会暴涨。分析师预计目前通胀上升只是暂时的。这意味着黄金的机会可能要等到三个月之后。,negative
2021/3/26,原油交易提醒：欧洲疫情+强美元拖垮多头空方还有子弹！3月26日亚洲时段美国原油站上59关口。欧洲疫情叠加强势美元令油价在周四暴跌不过对强美元而言这可能只是开始大宗商品的噩梦可能还在后头。,negative
2021/3/26,世界银行：中国今年将引领东亚和太平洋地区经济复苏世界银行对东亚和太平洋经济体的最新预估预测今年中国经济将从前一年的增长2.3%加速至增长8.1%并扶助该地区经济扩张7.4%高于2020年的增长1.2%。预计中国今年将引领东亚和太平洋地区的经济复苏。,positive
2021/3/26,3月26日现货黄金交易策略：空头士气上升择机顺势而为美元依旧强势美债收益率企稳反弹最新出炉的美国初请失业金人数变动好于预期美国四季度GDP数据上修美联储主席鲍威尔继续强化经济前景乐观预期令金价承压；尽管欧洲疫情等因素仍给金价提供避险支撑但基本面已经略微空头。...,negative
2021/3/26,黄金交易提醒：注意！鲍威尔或转鹰关注PCE及个人支出3月26日亚洲时段现货黄金小幅几乎持稳。近期金市陷入横盘状态市场关注鲍威尔表态的转变市场人士认为其周四的讲话可能意味着美联储将由鸽转鹰。晚上关注美国2月PCE物价指数及个人支出。,positive
2021/3/26,通胀升温已成定局美联储“鸽声飞舞”加息还需两年？美联储高级官员周四继续在各地演讲告诉投资者和公众美联储将继续对经济提供广泛支持直到目前正不断加速的复苏势头达到美国社会的各个层面并真的完成。自8月以来美联储一直在调整其正式的、技术性的措辞以阐明这一点。,negative
2021/3/26,3月26日外汇阻力支撑位3月26日外汇阻力支撑位,positive
2021/3/26,3月26日香港银行间同业拆借利率港币HIBOR3月26日香港银行间同业拆借利率港币：隔夜报0.06000%1周期报0.07000%1月期报0.14000%3月期报0.23000%6月期报0.47000%。,positive
2021/3/26,3月26日外汇交易提醒：美元连涨三日欧元创逾四个月新低3月25日美元指数连续第三个交易日上涨创去年11月13日以来高点至92.92在此之前7年期美国国债拍卖结果不佳推动美债收益率走高；欧元触及四个月新低投资者担心欧洲新冠疫苗接种计划遭遇的挫折将破坏经济增长。在G...,negative
